word,category
Intolerable,negative
Irritating,negative
Loathsome,negative
Lousy,negative
Maddening,negative
Malevolent,negative
Malicious,negative
Mean,negative
Menacing,negative
Miserable,negative
Monstrous,negative
Nasty,negative
Nauseating,negative
Nefarious,negative
Neglected,negative
Nervous,negative
Notorious,negative
Obnoxious,negative
Offensive,negative
Oppressive,negative
Outrageous,negative
Painful,negative
Pernicious,negative
Pestilent,negative
Pitiful,negative
Plagued,negative
Poisonous,negative
Pompous,negative
Predatory,negative
Preposterous,negative
Puzzling,negative
Repugnant,negative
Repulsive,negative
Revolting,negative
Ridiculous,negative
Ruinous,negative
Sadistic,negative
Savage,negative
Scandalous,negative
Scary,negative
Severed,negative
Shameful,negative
Shocking,negative
Sinister,negative
Sordid,negative
Spiteful,negative
Startling,negative
Sterile,negative
Stupefying,negative
Sulky,negative
Suspicious,negative
Tense,negative
Terrible,negative
Threatening,negative
Tragic,negative
Troubling,negative
Tyrannical,negative
Unacceptable,negative
Unbearable,negative
Uncertain,negative
Uncomfortable,negative
Unending,negative
Unfortunate,negative
Unhealthy,negative
Unjust,negative
Unpleasant,negative
Unreasonable,negative
Unsettling,negative
Unstable,negative
Unthinkable,negative
Untrustworthy,negative
Unwelcome,negative
Unwieldy,negative
Upsetting,negative
Vexing,negative
Vile,negative
Villainous,negative
Violent,negative
Vicious,negative
Wicked,negative
Woeful,negative
Worthless,negative
Wretched,negative
Abominable,negative
Abysmal,negative
Affliction,negative
Aggravating,negative
Agony,negative
Apprehensive,negative
Atrocity,negative
Awkward,negative
Baffling,negative
Barbarous,negative
Belittled,negative
Bewildering,negative
Bizarre,negative
Bleak,negative
Blundering,negative
Bothersome,negative
Bumbling,negative
Cataclysmic,negative
Catastrophe,negative
Caustic,negative
Coarse,negative
Cold-hearted,negative
Confounded,negative
Confrontational,negative
Confused,negative
Corrosive,negative
Corrupting,negative
Cursed,negative
Cynical,negative
Damaging,negative
Dark,negative
Dead-end,negative
Deadly,negative
Deceitful,negative
Deceptive,negative
Degenerate,negative
Delirious,negative
Desolate,negative
Destructive,negative
Detestable,negative
Devastating,negative
Dismaying,negative
Disoriented,negative
Displeasing,negative
Disrespectful,negative
Disturbing,negative
Draconian,negative
Dreadful,negative
Dumbfounding,negative
Embarrassing,negative
Enigmatic,negative
Enraged,negative
Erratic,negative
Exaggerated,negative
Excruciating,negative
Exile,negative
FALSE,negative
Fanatical,negative
Farcical,negative
Fearsome,negative
Ferocious,negative
Fierce,negative
Filthy,negative
Foolish,negative
Frightful,negative
Frivolous,negative
Furious,negative
Ghoulish,negative
Gory,negative
Grating,negative
Greedy,negative
Grievous,negative
Gruesome,negative
Harrowing,negative
Harsh,negative
Heartless,negative
Heinous,negative
Hellish,negative
Hideous,negative
Homicidal,negative
Horrid,negative
Horrific,negative
Hostile,negative
Humiliating,negative
Ignominious,negative
Immoral,negative
Impassable,negative
Impenetrable,negative
Imperious,negative
Implausible,negative
Inaccurate,negative
Inadequate,negative
Inane,negative
Incensed,negative
Incomprehensible,negative
Inconsiderate,negative
Inconsistent,negative
Indecipherable,negative
Indefensible,negative
Ineffective,negative
Inept,negative
Infernal,negative
Infuriating,negative
Inhospitable,negative
Inhumane,negative
Iniquitous,negative
Insane,negative
Insidious,negative
Insipid,negative
Insufferable,negative
Intolerable,negative
Intransigent,negative
Intrusive,negative
Irrational,negative
Irredeemable,negative
Irrelevant,negative
Irreparable,negative
Irresponsible,negative
Irreverent,negative
Irrevocable,negative
Jealous,negative
Lamentable,negative
Loathsome,negative
Ludicrous,negative
Maladjusted,negative
Malicious,negative
Malignant,negative
Menacing,negative
Merciless,negative
Misguided,negative
Mournful,negative
Nasty,negative
Nefarious,negative
Nervous,negative
Noxious,negative
Obnoxious,negative
Obscene,negative
Off-putting,negative
Oppressive,negative
Outrageous,negative
Painful,negative
Pathetic,negative
Perfidious,negative
Perilous,negative
Pessimistic,negative
Pestilent,negative
Petty,negative
Phobic,negative
Piteous,negative
Pitiable,negative
Pitiful,negative
Poisonous,negative
Pointless,negative
Pompous,negative
Predatory,negative
Preposterous,negative
Prohibitive,negative
Puzzling,negative
Repellent,negative
Reprehensible,negative
Repugnant,negative
Repulsive,negative
Ridiculous,negative
Rotten,negative
Sadistic,negative
Sardonic,negative
Savage,negative
Scandalous,negative
Scathing,negative
Severe,negative
Shallow,negative
Shameful,negative
Shocking,negative
Sordid,negative
Spiteful,negative
Startling,negative
Stifling,negative
Stupid,negative
Suspicious,negative
Tense,negative
Terrible,negative
Terrifying,negative
Threatening,negative
Tormenting,negative
Torturous,negative
Tragic,negative
Troubling,negative
Tyrannical,negative
Ugly,negative
Unacceptable,negative
Uncertain,negative
Uncomfortable,negative
Uncompromising,negative
Unending,negative
Unfair,negative
Unfaithful,negative
Unfortunate,negative
Unfriendly,negative
Unholy,negative
Unjust,negative
Unpleasant,negative
Unreasonable,negative
Unrelenting,negative
Unscrupulous,negative
Unsightly,negative
Unstable,negative
Unthinkable,negative
Untrustworthy,negative
Unwelcome,negative
Unworthy,negative
Upsetting,negative
Venomous,negative
Vexing,negative
Vile,negative
Villainous,negative
Violent,negative
Vindictive,negative
Vulgar,negative
Wicked,negative
Wretched,negative
Abashed,negative
Abhorred,negative
Abominated,negative
Abysmal,negative
Aggravated,negative
Agitated,negative
Apprehensive,negative
Awful,negative
Baffled,negative
Belligerent,negative
Bewildered,negative
Bitter,negative
Boring,negative
Brutal,negative
Calamitous,negative
Choked,negative
Confused,negative
Contaminated,negative
Contradictory,negative
Crazed,negative
Damaged,negative
Dark,negative
Dazed,negative
Depressed,negative
Desolate,negative
Despised,negative
Devalued,negative
Disagreeable,negative
Disapproved,negative
Disliked,negative
Dismissed,negative
Disturbed,negative
Dull,negative
Embarrassed,negative
Empty,negative
Excluded,negative
Excruciating,negative
Fearful,negative
Foul,negative
Frustrated,negative
Furious,negative
Grief-stricken,negative
Grim,negative
Gross,negative
Guilty,negative
Hapless,negative
Harassed,negative
Harmed,negative
Haunted,negative
Hesitant,negative
Hopeless,negative
Horrifying,negative
Humbled,negative
Hurt,negative
Ignored,negative
Impatient,negative
Inadequate,negative
Incomplete,negative
Injured,negative
Insensitive,negative
Insignificant,negative
Interrupted,negative
Intimidated,negative
Isolated,negative
Jealous,negative
Lamented,negative
Languished,negative
Lost,negative
Mourned,negative
Nervous,negative
Offended,negative
Overwhelmed,negative
Pathetic,negative
Perplexed,negative
Pessimistic,negative
Pained,negative
Rejected,negative
Remorseful,negative
Sad,negative
Scared,negative
Shame,negative
Shocked,negative
Sorrowful,negative
Spurned,negative
Stressed,negative
Suffering,negative
Tense,negative
Threatened,negative
Tormented,negative
Trapped,negative
Troubled,negative
Unappreciated,negative
Uncomfortable,negative
Undesired,negative
Unfortunate,negative
Unhappy,negative
Unimportant,negative
Unloved,negative
Unnoticed,negative
Unpleasant,negative
Unrecognized,negative
Unsettled,negative
Unwelcome,negative
Unwanted,negative
Upset,negative
Useless,negative
Vengeful,negative
Vulnerable,negative
Weak,negative
Weary,negative
Worried,negative
Worthless,negative
Wounded,negative
Wracked,negative
Wrathful,negative
Wretched,negative
Wronged,negative
